Chromosome	lg
NC_061060.1	lg01
NC_061061.1	lg02
NC_061062.1	lg03
NC_061063.1	lg04
NC_061064.1	lg05
NC_061065.1	lg06
NC_061066.1	lg07
NC_061067.1	lg08
NC_061068.1	lg09
NC_061069.1	lg10
NC_061070.1	lg11
NC_061071.1	lg12
NC_061072.1	lg13
NC_061073.1	lg14
NC_061074.1	lg15
NC_061075.1	lg16
NC_061076.1	lg17
NC_061077.1	lg18
NC_061078.1	lg19
NC_061079.1	lg20
NC_061080.1	lg21
NC_061081.1	lg22
NC_061082.1	lg23
NC_061083.1	lg24
NC_061084.1	lg25
NC_061085.1	lg26
