Family,Offspring Tag ID,Sire Tag ID,Dam Tag ID,PC,BroodYear
D,HDI_C_11,YV51,OG18,309,2019
E,LDI_D_04,OB16,RZ22,311,2019
E,LDI_D_08,OB16,RZ22,311,2019
F,LDI_D_02,YO33,OL61,321,2019
F,LDI_D_03,YO33,OL61,321,2019
F,LDI_D_05,YO33,OL61,321,2019
F,LDI_D_06,YO33,OL61,321,2019
F,LDI_D_07,YO33,OL61,321,2019
F,LDI_D_09,YO33,OL61,321,2019
G,LDI_D_01,YJ93,RZ63,323,2019
G,LDI_D_10,YJ93,RZ63,323,2019
